Stem_diam_mm	Ph1	Ph2	Ph3	Ph4	Ph5	Ph6	Ph7	Ph8
								
7.165	0	0	0	0	0	0	0	1
6.55	0	0	0	0	1	0	0	0
7.02	0	1	0	0	0	0	0	0
10.15	0	0	0	0	1	0	0	0
6.565	0	0	0	0	1	0	0	0
								
7.795	0	0	0	0	1	0	0	0
6.68	0	0	0	0	1	0	0	0
5.215	0	0	0	0	1	0	0	0
6.705	0	0	0	0	1	0	0	0
6.28	0	0	0	0	1	0	0	0
								
7.3	0	0	0	0	0	0	1	0
								
5.15	0	0	0	0	0	1	0	0
4.305	0	0	0	0	1	0	0	0
11.24	0	0	0	0	1	0	0	0
7.39	0	0	0	0	0	1	0	0
5.825	0	0	0	0	0	1	0	0
3.515	0	0	0	0	0	1	0	0
8.275	0	0	0	0	1	0	0	0
5.995	0	0	0	0	0	0	1	0
6.17	0	0	0	0	1	0	0	0
4.19	0	1	0	0	0	0	0	0
4.63	0	0	0	0	1	0	0	0
6.785	0	0	0	0	1	0	0	0
4.85	0	0	0	0	1	0	0	0
								
10.61	0	0	0	0	0	1	0	0
7.155	0	0	0	0	0	1	0	0
8.53	0	0	0	0	1	0	0	0
9.415	0	0	0	0	1	0	0	0
6.245	0	0	0	0	0	1	0	0
9.245	0	0	0	0	0	0	1	0
5.8	0	1	0	0	0	0	0	0
3.035	0	0	0	0	0	0	1	0
6.15	0	0	0	0	1	0	0	0
2.765	0	0	0	0	0	1	0	0
8.48	0	0	0	0	1	0	0	0
6.025	0	0	0	0	1	0	0	0
5.22	0	0	0	0	1	0	0	0
								
6.81	0	0	0	0	0	1	0	0
6.63	0	0	0	0	0	1	0	0
								
5.425	0	0	0	0	0	0	1	0
								
5.575	0	0	0	0	1	0	0	0
4.72	0	0	0	0	1	0	0	0
3.785	0	0	0	0	0	0	1	0
6.525	0	0	0	0	1	0	0	0
6.73	0	0	0	0	0	1	0	0
5.215	0	0	0	0	1	0	0	0
2.63	0	0	0	0	0	0	1	0
5.68	0	0	0	0	0	1	0	0
3.415	0	0	0	0	0	0	1	0
4.49	0	0	0	0	0	0	1	0
5.06	0	0	0	0	0	0	1	0
2.605	0	0	0	0	0	1	0	0
5.735	0	0	0	0	1	0	0	0
								
6.525	0	0	0	0	1	0	0	0
4.625	0	0	0	0	1	0	0	0
								
