Homolog.gene.primaryIdentifier,Homolog.gene.organism.shortName,Homolog.ortholog_gene.primaryIdentifier,Homolog.ortholog_gene.organism.shortName,Homolog.relationship
Potri.001G000100,P. trichocarpa,AT2G01050,A. thaliana,many-to-one
Potri.001G000200,P. trichocarpa,AT2G13510,A. thaliana,many-to-many
Potri.001G000200,P. trichocarpa,AT3G31430,A. thaliana,many-to-many
Potri.001G000200,P. trichocarpa,AT3G42140,A. thaliana,many-to-many
Potri.001G000400,P. trichocarpa,AT1G06515,A. thaliana,many-to-many
Potri.001G000400,P. trichocarpa,AT2G30942,A. thaliana,many-to-many
Potri.001G000500,P. trichocarpa,AT1G55570,A. thaliana,many-to-many
Potri.001G000500,P. trichocarpa,AT3G13390,A. thaliana,many-to-many
Potri.001G000500,P. trichocarpa,AT3G13400,A. thaliana,many-to-many
Potri.001G000600,P. trichocarpa,AT1G55570,A. thaliana,many-to-many
Potri.001G000600,P. trichocarpa,AT3G13390,A. thaliana,many-to-many
Potri.001G000600,P. trichocarpa,AT3G13400,A. thaliana,many-to-many
Potri.001G000700,P. trichocarpa,AT2G32080,A. thaliana,many-to-one
Potri.001G000800,P. trichocarpa,AT1G55550,A. thaliana,many-to-one
Potri.001G000900,P. trichocarpa,AT3G13410,A. thaliana,one-to-one
Potri.001G001300,P. trichocarpa,AT4G26410,A. thaliana,one-to-one
Potri.001G001400,P. trichocarpa,AT1G55535,A. thaliana,many-to-many
Potri.001G001400,P. trichocarpa,AT3G13420,A. thaliana,many-to-many
Potri.001G001500,P. trichocarpa,AT4G26400,A. thaliana,many-to-many
Potri.001G001500,P. trichocarpa,AT5G56340,A. thaliana,many-to-many
Potri.001G001600,P. trichocarpa,AT4G26390,A. thaliana,many-to-many
Potri.001G001600,P. trichocarpa,AT5G56350,A. thaliana,many-to-many
Potri.001G001700,P. trichocarpa,AT5G56360,A. thaliana,many-to-one
Potri.001G002000,P. trichocarpa,AT1G55500,A. thaliana,many-to-many
Potri.001G002000,P. trichocarpa,AT3G13460,A. thaliana,many-to-many
Potri.001G002200,P. trichocarpa,AT4G26330,A. thaliana,one-to-one
Potri.001G002300,P. trichocarpa,AT5G56460,A. thaliana,many-to-one
Potri.001G002500,P. trichocarpa,AT1G55490,A. thaliana,many-to-many
Potri.001G002500,P. trichocarpa,AT3G13470,A. thaliana,many-to-many
Potri.001G002600,P. trichocarpa,AT5G56510,A. thaliana,many-to-one
Potri.001G003200,P. trichocarpa,AT4G04220,A. thaliana,one-to-one
Potri.001G003300,P. trichocarpa,AT3G13480,A. thaliana,many-to-one
Potri.001G003500,P. trichocarpa,AT5G56520,A. thaliana,many-to-one
Potri.001G003700,P. trichocarpa,AT5G23710,A. thaliana,many-to-one
Potri.001G003800,P. trichocarpa,AT1G55360,A. thaliana,many-to-many
Potri.001G003800,P. trichocarpa,AT3G13510,A. thaliana,many-to-many
Potri.001G003900,P. trichocarpa,AT1G55350,A. thaliana,many-to-one
Potri.001G004000,P. trichocarpa,AT1G55340,A. thaliana,many-to-one
Potri.001G004100,P. trichocarpa,AT4G26320,A. thaliana,many-to-many
Potri.001G004100,P. trichocarpa,AT5G56540,A. thaliana,many-to-many
Potri.001G004200,P. trichocarpa,AT1G55325,A. thaliana,many-to-one
Potri.001G004300,P. trichocarpa,AT4G26310,A. thaliana,one-to-one
Potri.001G004500,P. trichocarpa,AT5G19760,A. thaliana,many-to-one
Potri.001G004700,P. trichocarpa,AT5G19790,A. thaliana,many-to-one
Potri.001G004800,P. trichocarpa,AT5G19820,A. thaliana,many-to-one
Potri.001G005000,P. trichocarpa,AT5G19830,A. thaliana,one-to-one
Potri.001G005100,P. trichocarpa,AT3G13540,A. thaliana,many-to-one
Potri.001G005500,P. trichocarpa,AT4G08810,A. thaliana,one-to-one
Potri.001G005700,P. trichocarpa,AT4G25650,A. thaliana,many-to-one
Potri.001G006000,P. trichocarpa,AT2G42820,A. thaliana,one-to-one
Potri.001G006200,P. trichocarpa,AT3G13600,A. thaliana,many-to-one
Potri.001G006300,P. trichocarpa,AT1G55300,A. thaliana,many-to-one
Potri.001G006500,P. trichocarpa,AT3G13560,A. thaliana,many-to-one
Potri.001G006600,P. trichocarpa,AT1G55320,A. thaliana,many-to-one
Potri.001G006700,P. trichocarpa,AT1G55320,A. thaliana,many-to-one
Potri.001G006800,P. trichocarpa,AT1G55290,A. thaliana,many-to-many
Potri.001G006800,P. trichocarpa,AT3G13610,A. thaliana,many-to-many
Potri.001G006900,P. trichocarpa,AT1G55290,A. thaliana,many-to-many
Potri.001G006900,P. trichocarpa,AT3G13610,A. thaliana,many-to-many
Potri.001G007100,P. trichocarpa,AT1G55290,A. thaliana,many-to-many
Potri.001G007100,P. trichocarpa,AT3G13610,A. thaliana,many-to-many
Potri.001G007300,P. trichocarpa,AT3G13620,A. thaliana,one-to-one
Potri.001G007400,P. trichocarpa,AT5G09280,A. thaliana,many-to-one
Potri.001G007800,P. trichocarpa,AT2G42500,A. thaliana,many-to-many
Potri.001G007800,P. trichocarpa,AT3G58500,A. thaliana,many-to-many
Potri.001G008000,P. trichocarpa,AT1G55270,A. thaliana,many-to-one
Potri.001G008300,P. trichocarpa,AT1G55265,A. thaliana,many-to-one
Potri.001G008400,P. trichocarpa,AT5G19860,A. thaliana,many-to-one
Potri.001G008700,P. trichocarpa,AT3G32940,A. thaliana,many-to-one
Potri.001G008800,P. trichocarpa,AT1G55250,A. thaliana,one-to-one
Potri.001G008900,P. trichocarpa,AT1G55230,A. thaliana,many-to-many
Potri.001G008900,P. trichocarpa,AT1G55240,A. thaliana,many-to-many
Potri.001G009000,P. trichocarpa,AT1G55230,A. thaliana,many-to-many
Potri.001G009000,P. trichocarpa,AT1G55240,A. thaliana,many-to-many
Potri.001G009100,P. trichocarpa,AT1G55210,A. thaliana,many-to-many
Potri.001G009100,P. trichocarpa,AT3G13650,A. thaliana,many-to-many
Potri.001G009100,P. trichocarpa,AT5G49040,A. thaliana,many-to-many
Potri.001G009200,P. trichocarpa,AT5G19875,A. thaliana,many-to-one
Potri.001G009600,P. trichocarpa,AT1G69770,A. thaliana,one-to-one
Potri.001G009700,P. trichocarpa,AT3G13670,A. thaliana,many-to-one
Potri.001G009800,P. trichocarpa,AT2G34860,A. thaliana,one-to-one
Potri.001G010000,P. trichocarpa,AT3G58060,A. thaliana,many-to-one
Potri.001G010100,P. trichocarpa,AT3G58060,A. thaliana,many-to-one
Potri.001G010200,P. trichocarpa,AT3G58060,A. thaliana,many-to-one
Potri.001G010300,P. trichocarpa,AT3G58060,A. thaliana,many-to-one
Potri.001G010400,P. trichocarpa,AT4G10620,A. thaliana,one-to-one
Potri.001G010800,P. trichocarpa,AT1G50480,A. thaliana,many-to-one
